,00:50:56:A1:8A:AF,Microsoft Windows 10 build 10074 - 14393,100
,8C:DC:D4:2E:85:05,Microsoft Windows Server 2008 or 2008 Beta 3,100
,94:57:A5:EC:DA:88,Microsoft Windows Phone 7.5 or 8.0,92
,34:E6:D7:4E:98:8E,Microsoft Windows Server 2008 or 2008 Beta 3,100
,94:57:A5:EC:DB:39,Microsoft Windows 10 build 10586 - 14393,93
,50:9A:4C:59:F1:D8,Microsoft Windows 10 build 10586 - 14393,93
,D4:81:D7:57:5F:AA,Microsoft Windows 10 build 10586 - 14393,93
,2C:27:D7:23:EC:67,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:F1:44:B4,Microsoft Windows Server 2008 or 2008 Beta 3,100
,50:9A:4C:54:6F:96,Microsoft Windows 10 build 10586 - 14393,93
,50:9A:4C:59:EF:77,Microsoft Windows 10 build 10586 - 14393,93
,50:9A:4C:59:AD:2C,Microsoft Windows 10 build 10586 - 14393,94
,00:26:B9:8D:0A:CB,Microsoft Windows 7 Professional or Windows 8,100
,A0:D3:C1:2E:6D:D1,Microsoft Windows Server 2008 or 2008 Beta 3,100
,88:51:FB:40:26:80,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,50:9A:4C:53:EC:AB,Microsoft Windows 10 build 10586 - 14393,93
,48:0F:CF:4A:D6:BE,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:EC:DB:78,Probably not Windows,
,94:57:A5:EC:DB:85,Microsoft Windows 10 build 10586 - 14393,93
,8C:DC:D4:39:6E:F3,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:87:73:BF,Microsoft Windows XP SP2,87
,A0:48:1C:7F:70:0E,Microsoft Windows 10 build 10586 - 14393,93
,00:26:B9:8D:0A:EE,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:80:A1:DE,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:87:73:53,Microsoft Windows 10 build 10586 - 14393,93
,50:9A:4C:53:EA:50,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",92
,A0:48:1C:7F:70:59,Microsoft Windows 10 build 10586 - 14393,93
,48:0F:CF:63:1E:94,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:EC:D8:7D,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,70:5A:0F:42:2D:ED,Microsoft Windows 10 build 10586 - 14393,93
